Day,Type,Range,Value
23,Attack,71-80,0.004618937644341801
23,Attack,81-90,0.0005773672055427252
23,Attack,91-100,0.002886836027713626
23,Attack,>100,0.013856812933025405
24,Attack,0,0.6101398601398601
24,Attack,1-10,0.2680652680652681
24,Attack,11-20,0.051864801864801864
24,Attack,21-30,0.02156177156177156
24,Attack,31-40,0.008741258741258742
24,Attack,41-50,0.008158508158508158
24,Attack,51-60,0.005244755244755245
24,Attack,61-70,0.004662004662004662
24,Attack,71-80,0.0034965034965034965
24,Attack,81-90,0.0017482517482517483
24,Attack,91-100,0.0011655011655011655
24,Attack,>100,0.015151515151515152
25,Attack,0,0.6357575757575757
25,Attack,1-10,0.25393939393939396
25,Attack,11-20,0.040606060606060604
25,Attack,21-30,0.01575757575757576
25,Attack,31-40,0.015151515151515152
25,Attack,41-50,0.009696969696969697
25,Attack,51-60,0.005454545454545455
25,Attack,61-70,0.0024242424242424242
25,Attack,71-80,0.0024242424242424242
25,Attack,81-90,0.0036363636363636364
25,Attack,91-100,0.0018181818181818182
25,Attack,>100,0.013333333333333334
26,Attack,0,0.6286919831223629
26,Attack,1-10,0.2628089210367691
26,Attack,11-20,0.03918022905364678
26,Attack,21-30,0.013261000602772756
26,Attack,31-40,0.013261000602772756
26,Attack,41-50,0.009041591320072333
26,Attack,51-60,0.0054249547920434
26,Attack,61-70,0.004219409282700422
26,Attack,71-80,0.0030138637733574444
26,Attack,81-90,0.0024110910186859553
26,Attack,91-100,0.0024110910186859553
26,Attack,>100,0.0162748643761302
27,Attack,0,0.6069330199764983
27,Attack,1-10,0.27262044653349
27,Attack,11-20,0.046415981198589897
27,Attack,21-30,0.026439482961222092
27,Attack,31-40,0.0099882491186839
27,Attack,41-50,0.005287896592244419
27,Attack,51-60,0.004112808460634548
27,Attack,61-70,0.004700352526439483
27,Attack,71-80,0.002937720329024677
27,Attack,81-90,0.0011750881316098707
27,Attack,91-100,0.0017626321974148062
27,Attack,>100,0.01762632197414806
28,Attack,0,0.6166564605021433
28,Attack,1-10,0.26393141457440294
28,Attack,11-20,0.043478260869565216
28,Attack,21-30,0.017758726270667484
28,Attack,31-40,0.009797917942437232
28,Attack,41-50,0.009185548071034905
28,Attack,51-60,0.00612369871402327
28,Attack,61-70,0.009797917942437232
28,Attack,71-80,0.004898958971218616
28,Attack,81-90,0.000612369871402327
28,Attack,91-100,0.000612369871402327
28,Attack,>100,0.017146356399265157
29,Attack,0,0.6166172106824925
29,Attack,1-10,0.2587537091988131
29,Attack,11-20,0.05341246290801187
29,Attack,21-30,0.017210682492581602
29,Attack,31-40,0.011275964391691394
29,Attack,41-50,0.00771513353115727
29,Attack,51-60,0.005341246290801187
29,Attack,61-70,0.004747774480712166
29,Attack,71-80,0.0017804154302670622
29,Attack,81-90,0.004154302670623145
29,Attack,91-100,0.002967359050445104
29,Attack,>100,0.016023738872403562
30,Attack,0,0.6086427267194157
30,Attack,1-10,0.2732805842970176
30,Attack,11-20,0.049300060864272674
30,Attack,21-30,0.014607425441265977
30,Attack,31-40,0.013390139987827145
30,Attack,41-50,0.007303712720632989
30,Attack,51-60,0.007303712720632989
30,Attack,61-70,0.002434570906877663
30,Attack,71-80,0.0030432136335970784
30,Attack,81-90,0.0030432136335970784
30,Attack,91-100,0.0018259281801582471
30,Attack,>100,0.01582471089470481
1,Trade,0,0.09505988023952096
1,Trade,1-10,0.7200598802395209
1,Trade,11-20,0.11601796407185629
1,Trade,21-30,0.033682634730538924
1,Trade,31-40,0.016467065868263474
1,Trade,41-50,0.005988023952095809
1,Trade,51-60,0.0037425149700598802
1,Trade,61-70,0.0029940119760479044
1,Trade,71-80,0.0007485029940119761
1,Trade,81-90,0.002245508982035928
1,Trade,91-100,0.0007485029940119761
1,Trade,>100,0.002245508982035928
2,Trade,0,0.0958904109589041
2,Trade,1-10,0.7298325722983258
2,Trade,11-20,0.1095890410958904
2,Trade,21-30,0.0334855403348554
2,Trade,31-40,0.015220700152207
2,Trade,41-50,0.00684931506849315
2,Trade,51-60,0.0030441400304414
2,Trade,61-70,0.00228310502283105
2,Trade,71-80,0.00228310502283105
2,Trade,81-90,0.0015220700152207
2,Trade,91-100,0.0
2,Trade,>100,0.0
3,Trade,0,0.10038910505836576
3,Trade,1-10,0.7151750972762646
3,Trade,11-20,0.10739299610894941
3,Trade,21-30,0.045914396887159536
3,Trade,31-40,0.014785992217898832
3,Trade,41-50,0.00933852140077821
3,Trade,51-60,0.0031128404669260703
3,Trade,61-70,0.0007782101167315176
3,Trade,71-80,0.0015564202334630351
3,Trade,81-90,0.0
3,Trade,91-100,0.0
3,Trade,>100,0.0015564202334630351
4,Trade,0,0.08529650690495533
4,Trade,1-10,0.7262388302193339
4,Trade,11-20,0.12022745735174654
4,Trade,21-30,0.04224207961007311
4,Trade,31-40,0.010560519902518278
4,Trade,41-50,0.0
4,Trade,51-60,0.005686433793663688
4,Trade,61-70,0.003249390739236393
4,Trade,71-80,0.002437043054427295
4,Trade,81-90,0.002437043054427295
4,Trade,91-100,0.0
4,Trade,>100,0.0016246953696181965
5,Trade,0,0.08293460925039872
5,Trade,1-10,0.7169059011164274
5,Trade,11-20,0.12280701754385964
5,Trade,21-30,0.03349282296650718
5,Trade,31-40,0.01674641148325359
5,Trade,41-50,0.009569377990430622
5,Trade,51-60,0.008771929824561403
5,Trade,61-70,0.004784688995215311
5,Trade,71-80,0.001594896331738437
5,Trade,81-90,0.0
5,Trade,91-100,0.0
5,Trade,>100,0.0023923444976076554
6,Trade,0,0.08087091757387248
6,Trade,1-10,0.7153965785381027
6,Trade,11-20,0.11119751166407466
6,Trade,21-30,0.04743390357698289
6,Trade,31-40,0.02332814930015552
6,Trade,41-50,0.00933125972006221
6,Trade,51-60,0.0038880248833592537
6,Trade,61-70,0.003110419906687403
6,Trade,71-80,0.0023328149300155523
6,Trade,81-90,0.0015552099533437014
6,Trade,91-100,0.0
6,Trade,>100,0.0015552099533437014
7,Trade,0,0.08957528957528957
7,Trade,1-10,0.7096525096525097
7,Trade,11-20,0.12046332046332046
7,Trade,21-30,0.036293436293436294
7,Trade,31-40,0.019305019305019305
7,Trade,41-50,0.009266409266409266
7,Trade,51-60,0.007722007722007722
7,Trade,61-70,0.003088803088803089
7,Trade,71-80,0.0015444015444015444
7,Trade,81-90,0.0007722007722007722
7,Trade,91-100,0.0015444015444015444
7,Trade,>100,0.0007722007722007722
8,Trade,0,0.08778930566640064
8,Trade,1-10,0.7063048683160414
8,Trade,11-20,0.13248204309656825
8,Trade,21-30,0.03272146847565842
8,Trade,31-40,0.020750199521149242
8,Trade,41-50,0.009577015163607342
8,Trade,51-60,0.00558659217877095
8,Trade,61-70,0.0023942537909018356
8,Trade,71-80,0.0
8,Trade,81-90,0.0023942537909018356
8,Trade,91-100,0.0
8,Trade,>100,0.0
9,Trade,0,0.083596214511041
9,Trade,1-10,0.7350157728706624
9,Trade,11-20,0.11435331230283911
9,Trade,21-30,0.027602523659305992
9,Trade,31-40,0.017350157728706624
9,Trade,41-50,0.011041009463722398
9,Trade,51-60,0.003943217665615142
9,Trade,61-70,0.0031545741324921135
9,Trade,71-80,0.0015772870662460567
9,Trade,81-90,0.0007886435331230284
9,Trade,91-100,0.0007886435331230284
9,Trade,>100,0.0007886435331230284
10,Trade,0,0.08733974358974358
10,Trade,1-10,0.7011217948717948
10,Trade,11-20,0.1346153846153846
10,Trade,21-30,0.03766025641025641
10,Trade,31-40,0.01842948717948718
10,Trade,41-50,0.011217948717948718
10,Trade,51-60,0.004006410256410256
10,Trade,61-70,0.004807692307692308
10,Trade,71-80,0.0
10,Trade,81-90,0.0
10,Trade,91-100,0.0008012820512820513
10,Trade,>100,0.0
11,Trade,0,0.0912863070539419
11,Trade,1-10,0.7012448132780082
11,Trade,11-20,0.13195020746887967
11,Trade,21-30,0.036514522821576766
11,Trade,31-40,0.014937759336099586
11,Trade,41-50,0.00995850622406639
11,Trade,51-60,0.005809128630705394
11,Trade,61-70,0.004149377593360996
11,Trade,71-80,0.0008298755186721991
11,Trade,81-90,0.0
11,Trade,91-100,0.0008298755186721991
11,Trade,>100,0.0024896265560165973
12,Trade,0,0.0925764192139738
12,Trade,1-10,0.6838427947598253
12,Trade,11-20,0.1205240174672489
12,Trade,21-30,0.050655021834061134
12,Trade,31-40,0.021834061135371178
12,Trade,41-50,0.016593886462882096
12,Trade,51-60,0.0069868995633187774
12,Trade,61-70,0.0026200873362445414
12,Trade,71-80,0.0008733624454148472
12,Trade,81-90,0.0017467248908296944
12,Trade,91-100,0.0008733624454148472
12,Trade,>100,0.0008733624454148472
13,Trade,0,0.08821104699093157
13,Trade,1-10,0.6908491343775762
13,Trade,11-20,0.1261335531739489
13,Trade,21-30,0.05193734542456719
13,Trade,31-40,0.01978565539983512
13,Trade,41-50,0.00989282769991756
13,Trade,51-60,0.004122011541632316
13,Trade,61-70,0.00494641384995878
13,Trade,71-80,0.0016488046166529267
13,Trade,81-90,0.0008244023083264633
13,Trade,91-100,0.0016488046166529267
13,Trade,>100,0.0
14,Trade,0,0.07449392712550608
14,Trade,1-10,0.7165991902834008
14,Trade,11-20,0.1214574898785425
14,Trade,21-30,0.03805668016194332
14,Trade,31-40,0.019433198380566803
14,Trade,41-50,0.012145748987854251
14,Trade,51-60,0.005668016194331984
14,Trade,61-70,0.004048582995951417
14,Trade,71-80,0.0016194331983805667
14,Trade,81-90,0.004048582995951417
14,Trade,91-100,0.0
14,Trade,>100,0.0024291497975708503
15,Trade,0,0.08507089241034195
15,Trade,1-10,0.677231025854879
15,Trade,11-20,0.12844036697247707
