day,type,range,value
12,N_T,51-60,0.003816794
12,N_T,61-70,0.001635769
12,N_T,71-80,0.0
12,N_T,81-90,0.0
12,N_T,91-100,0.0
12,N_T,>100,0.000545256
13,N_T,0,0.558319514
13,N_T,1-10,0.332780542
13,N_T,11-20,0.070204533
13,N_T,21-30,0.022111664
13,N_T,31-40,0.004422333
13,N_T,41-50,0.003869541
13,N_T,51-60,0.003869541
13,N_T,61-70,0.002763958
13,N_T,71-80,0.001105583
13,N_T,81-90,0.000552792
13,N_T,91-100,0.0
13,N_T,>100,0.0
14,N_T,0,0.551136364
14,N_T,1-10,0.339772727
14,N_T,11-20,0.065340909
14,N_T,21-30,0.023295455
14,N_T,31-40,0.008522727
14,N_T,41-50,0.005113636
14,N_T,51-60,0.004545455
14,N_T,61-70,0.001136364
14,N_T,71-80,0.000568182
14,N_T,81-90,0.0
14,N_T,91-100,0.000568182
14,N_T,>100,0.0
15,N_T,0,0.561590146
15,N_T,1-10,0.325867861
15,N_T,11-20,0.064389698
15,N_T,21-30,0.021276596
15,N_T,31-40,0.010638298
15,N_T,41-50,0.007278835
15,N_T,51-60,0.004479283
15,N_T,61-70,0.003359462
15,N_T,71-80,0.0
15,N_T,81-90,0.00055991
15,N_T,91-100,0.00055991
15,N_T,>100,0.0
16,N_T,0,0.564479638
16,N_T,1-10,0.325226244
16,N_T,11-20,0.060520362
16,N_T,21-30,0.02658371
16,N_T,31-40,0.009615385
16,N_T,41-50,0.005090498
16,N_T,51-60,0.003393665
16,N_T,61-70,0.002828054
16,N_T,71-80,0.0
16,N_T,81-90,0.001131222
16,N_T,91-100,0.000565611
16,N_T,>100,0.000565611
17,N_T,0,0.527348395
17,N_T,1-10,0.362068966
17,N_T,11-20,0.065992866
17,N_T,21-30,0.021403092
17,N_T,31-40,0.010107015
17,N_T,41-50,0.005945303
17,N_T,51-60,0.001783591
17,N_T,61-70,0.002972652
17,N_T,71-80,0.00059453
17,N_T,81-90,0.001189061
17,N_T,91-100,0.0
17,N_T,>100,0.00059453
18,N_T,0,0.571592211
18,N_T,1-10,0.325315006
18,N_T,11-20,0.064719359
18,N_T,21-30,0.018327606
18,N_T,31-40,0.006872852
18,N_T,41-50,0.005727377
18,N_T,51-60,0.002290951
18,N_T,61-70,0.001145475
18,N_T,71-80,0.002290951
18,N_T,81-90,0.000572738
18,N_T,91-100,0.000572738
18,N_T,>100,0.000572738
19,N_T,0,0.601169591
19,N_T,1-10,0.305847953
19,N_T,11-20,0.059064327
19,N_T,21-30,0.015789474
19,N_T,31-40,0.007017544
19,N_T,41-50,0.004093567
19,N_T,51-60,0.000584795
19,N_T,61-70,0.001754386
19,N_T,71-80,0.001169591
19,N_T,81-90,0.001754386
19,N_T,91-100,0.000584795
19,N_T,>100,0.001169591
20,N_T,0,0.578455791
20,N_T,1-10,0.324408468
20,N_T,11-20,0.054171856
20,N_T,21-30,0.023038605
20,N_T,31-40,0.00871731
20,N_T,41-50,0.003113325
20,N_T,51-60,0.004358655
20,N_T,61-70,0.0
20,N_T,71-80,0.000622665
20,N_T,81-90,0.00249066
20,N_T,91-100,0.0
20,N_T,>100,0.000622665
21,N_T,0,0.580323786
21,N_T,1-10,0.310087173
21,N_T,11-20,0.064757161
21,N_T,21-30,0.023038605
21,N_T,31-40,0.009339975
21,N_T,41-50,0.005603985
21,N_T,51-60,0.003113325
21,N_T,61-70,0.00124533
21,N_T,71-80,0.000622665
21,N_T,81-90,0.0
21,N_T,91-100,0.0
21,N_T,>100,0.001867995
22,N_T,0,0.603603604
22,N_T,1-10,0.295495495
22,N_T,11-20,0.057657658
22,N_T,21-30,0.017417417
22,N_T,31-40,0.012612613
22,N_T,41-50,0.005405405
22,N_T,51-60,0.002402402
22,N_T,61-70,0.003003003
22,N_T,71-80,0.001201201
22,N_T,81-90,0.0
22,N_T,91-100,0.0
22,N_T,>100,0.001201201
23,N_T,0,0.597087379
23,N_T,1-10,0.307645631
23,N_T,11-20,0.064320388
23,N_T,21-30,0.015169903
23,N_T,31-40,0.006674757
23,N_T,41-50,0.004854369
23,N_T,51-60,0.003033981
23,N_T,61-70,0.000606796
23,N_T,71-80,0.0
23,N_T,81-90,0.0
23,N_T,91-100,0.000606796
23,N_T,>100,0.0
24,N_T,0,0.598264104
24,N_T,1-10,0.305021699
24,N_T,11-20,0.059516429
24,N_T,21-30,0.016119033
24,N_T,31-40,0.008679479
24,N_T,41-50,0.006199628
24,N_T,51-60,0.002479851
24,N_T,61-70,0.000619963
24,N_T,71-80,0.0
24,N_T,81-90,0.001239926
24,N_T,91-100,0.000619963
24,N_T,>100,0.001239926
25,N_T,0,0.584810127
