Day,0,1-10,11-20,21-30,31-40,41-50,51-60,61-70,71-80,81-90,91-100,>100
21,0.02480916030534351,0.7792620865139949,0.14185750636132316,0.02862595419847328,0.011450381679389313,0.006361323155216285,0.0031806615776081423,0.0006361323155216285,0.001272264631043257,0.0019083969465648854,0.0,0.0006361323155216285
22,0.021328458257160267,0.7586837294332724,0.12858013406459476,0.044485070079219986,0.021328458257160267,0.010359536867763558,0.005484460694698354,0.003656307129798903,0.0006093845216331506,0.0018281535648994515,0.0006093845216331506,0.0030469226081657527
23,0.024509803921568627,0.7775735294117647,0.12377450980392157,0.042279411764705885,0.010416666666666666,0.00980392156862745,0.0030637254901960784,0.003676470588235294,0.001838235294117647,0.0006127450980392157,0.0012254901960784314,0.0012254901960784314
24,0.022867737948084055,0.7441285537700866,0.18046971569839307,0.027194066749072928,0.012978986402966625,0.004326328800988875,0.002472187886279357,0.0012360939431396785,0.002472187886279357,0.0012360939431396785,0.0006180469715698393,0.0
25,0.027255029201817,0.8565866320571057,0.08306294613887086,0.01946787800129786,0.005191434133679429,0.0025957170668397143,0.0012978585334198572,0.0,0.001946787800129786,0.0,0.0012978585334198572,0.0012978585334198572
26,0.033503277494537506,0.8324836125273124,0.09104151493080845,0.016751638747268753,0.014566642388929352,0.005098324836125273,0.0029133284777858705,0.0007283321194464676,0.0,0.0021849963583394027,0.0,0.0007283321194464676
27,0.021985343104596936,0.8334443704197202,0.0966022651565623,0.020652898067954697,0.010659560293137908,0.007994670219853431,0.0033311125916055963,0.0006662225183211193,0.002664890073284477,0.0006662225183211193,0.0006662225183211193,0.0006662225183211193
28,0.036375661375661374,0.8187830687830688,0.1078042328042328,0.01984126984126984,0.00992063492063492,0.003968253968253968,0.0013227513227513227,0.0013227513227513227,0.0,0.0,0.0,0.0006613756613756613
29,0.03551136363636364,0.8558238636363636,0.06676136363636363,0.02556818181818182,0.005681818181818182,0.004971590909090909,0.0035511363636363635,0.002130681818181818,0.0,0.0,0.0,0.0
30,0.023809523809523808,0.8359788359788359,0.09854497354497355,0.021164021164021163,0.008597883597883597,0.005291005291005291,0.0013227513227513227,0.003968253968253968,0.0006613756613756613,0.0006613756613756613,0.0,0.0
