Day,Type,Range,Value
21,Trade,81-90,0.0009900990099009901
21,Trade,91-100,0.0009900990099009901
21,Trade,>100,0.0029702970297029703
22,Trade,0,0.18395303326810175
22,Trade,1-10,0.5655577299412916
22,Trade,11-20,0.14774951076320939
22,Trade,21-30,0.03913894324853229
22,Trade,31-40,0.026418786692759294
22,Trade,41-50,0.011741682974559686
22,Trade,51-60,0.009784735812133072
22,Trade,61-70,0.0029354207436399216
22,Trade,71-80,0.0019569471624266144
22,Trade,81-90,0.004892367906066536
22,Trade,91-100,0.0009784735812133072
22,Trade,>100,0.004892367906066536
23,Trade,0,0.18361303060217177
23,Trade,1-10,0.5932872655478776
23,Trade,11-20,0.12339585389930899
23,Trade,21-30,0.040473840078973346
23,Trade,31-40,0.028627838104639685
23,Trade,41-50,0.009871668311944718
23,Trade,51-60,0.011846001974333662
23,Trade,61-70,0.0019743336623889436
23,Trade,71-80,0.0019743336623889436
23,Trade,81-90,0.0019743336623889436
23,Trade,91-100,0.0019743336623889436
23,Trade,>100,0.0009871668311944718
24,Trade,0,0.16531440162271804
24,Trade,1-10,0.6105476673427992
24,Trade,11-20,0.11967545638945233
24,Trade,21-30,0.035496957403651115
24,Trade,31-40,0.02535496957403651
24,Trade,41-50,0.015212981744421906
24,Trade,51-60,0.010141987829614604
24,Trade,61-70,0.007099391480730223
24,Trade,71-80,0.002028397565922921
24,Trade,81-90,0.0
24,Trade,91-100,0.002028397565922921
24,Trade,>100,0.007099391480730223
25,Trade,0,0.1622983870967742
25,Trade,1-10,0.6169354838709677
25,Trade,11-20,0.13407258064516128
25,Trade,21-30,0.037298387096774195
25,Trade,31-40,0.020161290322580645
25,Trade,41-50,0.009072580645161291
25,Trade,51-60,0.006048387096774193
25,Trade,61-70,0.0030241935483870967
25,Trade,71-80,0.0020161290322580645
25,Trade,81-90,0.0030241935483870967
25,Trade,91-100,0.0
25,Trade,>100,0.006048387096774193
26,Trade,0,0.1462655601659751
26,Trade,1-10,0.6348547717842323
26,Trade,11-20,0.1078838174273859
26,Trade,21-30,0.05186721991701245
26,Trade,31-40,0.022821576763485476
26,Trade,41-50,0.014522821576763486
26,Trade,51-60,0.0031120331950207467
26,Trade,61-70,0.006224066390041493
26,Trade,71-80,0.004149377593360996
26,Trade,81-90,0.001037344398340249
26,Trade,91-100,0.001037344398340249
26,Trade,>100,0.006224066390041493
27,Trade,0,0.17082917082917082
27,Trade,1-10,0.5854145854145855
27,Trade,11-20,0.11888111888111888
27,Trade,21-30,0.058941058941058944
27,Trade,31-40,0.027972027972027972
27,Trade,41-50,0.011988011988011988
27,Trade,51-60,0.00999000999000999
27,Trade,61-70,0.005994005994005994
27,Trade,71-80,0.002997002997002997
27,Trade,81-90,0.000999000999000999
27,Trade,91-100,0.0
27,Trade,>100,0.005994005994005994
28,Trade,0,0.16617502458210423
28,Trade,1-10,0.6096361848574238
28,Trade,11-20,0.11799410029498525
28,Trade,21-30,0.04523107177974434
28,Trade,31-40,0.02654867256637168
28,Trade,41-50,0.011799410029498525
28,Trade,51-60,0.003933136676499509
28,Trade,61-70,0.008849557522123894
28,Trade,71-80,0.0009832841691248771
28,Trade,81-90,0.0029498525073746312
28,Trade,91-100,0.0
28,Trade,>100,0.0058997050147492625
29,Trade,0,0.13824419778002017
29,Trade,1-10,0.6266397578203835
29,Trade,11-20,0.11907164480322906
29,Trade,21-30,0.05146316851664985
29,Trade,31-40,0.030272452068617558
29,Trade,41-50,0.013118062563067608
29,Trade,51-60,0.006054490413723511
29,Trade,61-70,0.007063572149344097
29,Trade,71-80,0.0020181634712411706
29,Trade,81-90,0.0010090817356205853
29,Trade,91-100,0.0020181634712411706
29,Trade,>100,0.0030272452068617556
30,Trade,0,0.140641158221303
30,Trade,1-10,0.6194415718717684
30,Trade,11-20,0.12202688728024819
30,Trade,21-30,0.06101344364012409
30,Trade,31-40,0.022750775594622543
30,Trade,41-50,0.010341261633919338
30,Trade,51-60,0.007238883143743537
30,Trade,61-70,0.007238883143743537
30,Trade,71-80,0.002068252326783868
30,Trade,81-90,0.0031023784901758012
30,Trade,91-100,0.002068252326783868
30,Trade,>100,0.002068252326783868
